DRIVER_INTELIGENTE_OFFLINE_ADDRESS	1
META	Parana OSM places	1.0.0	Parana
PLACE	pr-osm-3066029551	3 Bocas	-24.6827566	-53.8199972
PLACE	pr-osm-13993442392	3 Placas	-24.5196818	-53.0924193
PLACE	pr-osm-415523049	Abatiá	-23.3052967	-50.3102532
PLACE	pr-osm-3066037010	Acarahy	-24.8645906	-53.8326649
PLACE	pr-osm-416645187	Adhemar de Barros	-22.690307	-52.7356442
PLACE	pr-osm-415523630	Adrianópolis	-24.6557863	-48.9912769
PLACE	pr-osm-415523611	Agudos do Sul	-25.9890808	-49.3328175
PLACE	pr-osm-1248679208	Aldeia Ivaí	-24.541812	-51.6316294	Terra Indígena Ivaí
PLACE	pr-osm-4077041604	Aldeia Kakane Porã	-25.6039263	-49.3278445
PLACE	pr-osm-10937002663	Aldeia Tupã Nh’è Kretã	-25.6156265	-48.937514
PLACE	pr-osm-416646643	Alecrim	-24.0413686	-50.4014
PLACE	pr-osm-416646694	Alexandra	-25.5545168	-48.627166
PLACE	pr-osm-415523603	Almirante Tamandaré	-25.3133048	-49.2997838
PLACE	pr-osm-415523474	Altamira do Paraná	-24.798939	-52.7132201
PLACE	pr-osm-416645242	Alto Alegre	-22.897695	-51.8883784
PLACE	pr-osm-416657857	Alto Alegre	-24.2971233	-54.0617511
PLACE	pr-osm-6768461999	Alto Alegre	-24.3727826	-53.5882651
PLACE	pr-osm-416646271	Alto Alegre do Iguaçu	-25.4817929	-53.4833205
PLACE	pr-osm-6296783816	Alto Bela Vista	-25.3722674	-52.9416022
PLACE	pr-osm-7804605915	Alto da Serra	-24.9023637	-54.1853268
PLACE	pr-osm-416646613	Alto do São João	-24.5507904	-52.1042851
PLACE	pr-osm-4516898476	Alto Faraday	-25.5858943	-53.6460347
PLACE	pr-osm-415522950	Alto Paraná	-23.131247	-52.318893
PLACE	pr-osm-415522890	Alto Paraíso	-23.508137	-53.728537
PLACE	pr-osm-415523513	Alto Piquiri	-24.0239021	-53.4417448
PLACE	pr-osm-416646590	Alto Porã	-24.3518372	-51.6925728
PLACE	pr-osm-416646148	Alto Santa Fé	-24.3916261	-53.9320598
PLACE	pr-osm-415522884	Altônia	-23.8722004	-53.894037
PLACE	pr-osm-416646118	Alvorada do Iguaçu	-25.3666193	-54.4987879
PLACE	pr-osm-415523042	Alvorada do Sul	-22.7807269	-51.2307721
PLACE	pr-osm-415522915	Amaporã	-23.094272	-52.786597
PLACE	pr-osm-416645267	Amorinha	-23.924152	-50.264212
PLACE	pr-osm-415523329	Ampére	-25.9168712	-53.4742414	Ampère;Ampére
PLACE	pr-osm-415523486	Anahy	-24.6450861	-53.1337957
PLACE	pr-osm-415523028	Andirá	-23.0494761	-50.2310027
PLACE	pr-osm-10702107321	Anhaia	-25.5247101	-48.8442789
PLACE	pr-osm-5957747589	Antas	-24.0604374	-50.6287707
PLACE	pr-osm-277438325	Antonina	-25.4298854	-48.7125431
PLACE	pr-osm-415523618	Antônio Olinto	-25.9849006	-50.1974516
PLACE	pr-osm-416646306	Anunciação	-25.7917637	-53.4051511
PLACE	pr-osm-416645159	Aparecida D'Oeste	-23.9603855	-52.8465909
PLACE	pr-osm-7667341422	Aparecidinha	-24.8171196	-54.2507909
PLACE	pr-osm-416646582	Apiaba	-25.338083	-50.788099
PLACE	pr-osm-415522987	Apucarana	-23.5525327	-51.4610764
PLACE	pr-osm-11447812802	Apucaraninha	-23.7613707	-50.9124347
PLACE	pr-osm-416766141	Aquidaban	-23.5858257	-51.9038367	Aquidabã
PLACE	pr-osm-415522984	Arapongas	-23.4152862	-51.4293961
PLACE	pr-osm-415523633	Arapoti	-24.1457957	-49.8224605
PLACE	pr-osm-416646611	Arapuan	-24.258051	-52.849561
PLACE	pr-osm-415523497	Arapuã	-24.3079525	-51.7901941
PLACE	pr-osm-415522899	Araruna	-23.9320308	-52.4976047
PLACE	pr-osm-415523605	Araucária	-25.5861107	-49.4051209
PLACE	pr-osm-415523494	Ariranha do Ivaí	-24.3834527	-51.5876772
PLACE	pr-osm-3759315736	Arroio Guaçu	-24.3915243	-54.2479137
PLACE	pr-osm-415522999	Assaí	-23.3736041	-50.8454929
PLACE	pr-osm-7804605918	Assentamento Ander Rodolfo Henrique	-24.9372399	-54.05343
PLACE	pr-osm-415523478	Assis Chateaubriand	-24.4054826	-53.5120468
PLACE	pr-osm-415522975	Astorga	-23.2350184	-51.6647074
PLACE	pr-osm-415522958	Atalaia	-23.1513833	-52.0529697
PLACE	pr-osm-416646116	Aurora do Iguaçu	-25.3706044	-54.1600669
PLACE	pr-osm-10983164447	Açungui	-24.9878056	-49.4819517
PLACE	pr-osm-10264921661	Açungui do Meio	-25.0461662	-49.5378693
PLACE	pr-osm-416646692	Bairro Alto	-25.2312576	-48.7508424
PLACE	pr-osm-5955730961	Bairro dos Alves	-23.897514	-50.5832559
PLACE	pr-osm-12990026377	Bal São Luiz	-22.7567122	-51.2095499
PLACE	pr-osm-12990023889	Balneario Rosa L Alves I	-22.7426328	-51.2031019
PLACE	pr-osm-12990043208	Balneário Porto Seguro	-22.7603332	-51.1938215
PLACE	pr-osm-415523607	Balsa Nova	-25.5842234	-49.6312741
PLACE	pr-osm-416646601	Bananas	-25.133318	-52.602464
PLACE	pr-osm-415523005	Bandeirantes	-23.107788	-50.370407
PLACE	pr-osm-3940872026	Bandeirantes d'Oeste	-24.3069818	-53.2114389	Bandeirantes do Oeste
PLACE	pr-osm-415523506	Barbosa Ferraz	-24.0287182	-52.00811
PLACE	pr-osm-4679181509	Barbosas	-23.7490763	-49.8314568
PLACE	pr-osm-5815646672	Barra Bonita	-24.7155145	-52.0419624
PLACE	pr-osm-6135820341	Barra Bonita	-24.0146482	-50.6081089
PLACE	pr-osm-3265643704	Barra de Superagui	-25.4574026	-48.2474415	Barra do Superagui
PLACE	pr-osm-9363024804	Barra do Ararapira	-25.2938054	-48.0985084
PLACE	pr-osm-415523062	Barra do Jacaré	-23.1151788	-50.1813945
PLACE	pr-osm-416646251	Barra Grande	-25.7421715	-53.6831476
PLACE	pr-osm-416646328	Barra Grande	-25.9736481	-52.9181776
PLACE	pr-osm-5955743790	Barra Grande	-23.9380726	-50.5899576
PLACE	pr-osm-5958150085	Barra Grande	-23.9736524	-50.5412259
PLACE	pr-osm-6151492038	Barra Mansa	-23.8615615	-50.5741439
PLACE	pr-osm-415523248	Barracão	-26.2524094	-53.6349764	Barracao	Município de Barracão
PLACE	pr-osm-3520840697	Barreiros	-25.4863541	-48.7827188
PLACE	pr-osm-5958358085	Barrinha	-24.0581765	-50.4188797
PLACE	pr-osm-416766184	Barão de Antonina	-23.6699419	-50.8682664
PLACE	pr-osm-416645198	Barão de Lucena	-23.2511152	-52.2974314
PLACE	pr-osm-416646710	Bateias	-25.3600967	-49.5119956
PLACE	pr-osm-3756685061	Bela Vista	-24.517424	-54.2157264
PLACE	pr-osm-416646602	Bela Vista	-25.1584839	-52.6970394
PLACE	pr-osm-415523253	Bela Vista da Caroba	-25.8792818	-53.6672545
PLACE	pr-osm-416645194	Bela Vista do Ivaí	-23.8477458	-52.0311184
PLACE	pr-osm-415523040	Bela Vista do Paraíso	-22.9948493	-51.1907996
PLACE	pr-osm-416646603	Bela Vista do Piquiri	-24.683661	-52.8813778
PLACE	pr-osm-416645176	Bela Vista do Tapiracuí	-23.5885578	-52.9390244
PLACE	pr-osm-6125474338	Belizário	-24.057585	-50.4890173
PLACE	pr-osm-416645245	Bentópolis	-22.9288622	-51.7152255
PLACE	pr-osm-6318223445	Biopark	-24.6209636	-53.7122279
PLACE	pr-osm-3749186438	Biscaia	-25.0658489	-49.8807444
PLACE	pr-osm-415523397	Bituruna	-26.161281	-51.5533319
PLACE	pr-osm-415523467	Boa Esperança	-24.2411024	-52.7860277
PLACE	pr-osm-415523319	Boa Esperança do Iguaçu	-25.6362851	-53.2139114
PLACE	pr-osm-415523518	Boa Ventura de São Roque	-24.88177	-51.5441292
PLACE	pr-osm-2305317836	Boa Vista	-24.652868	-53.6807867
PLACE	pr-osm-416645205	Boa Vista	-23.21716	-52.234967
PLACE	pr-osm-5955766871	Boa Vista (Vila Rural)	-23.989785	-50.5041576
PLACE	pr-osm-415523322	Boa Vista da Aparecida	-25.4357216	-53.4067721
PLACE	pr-osm-415523648	Bocaiúva do Sul	-25.206591	-49.114131
PLACE	pr-osm-3757664228	Bom Jardim	-24.5472256	-54.2653762
PLACE	pr-osm-416646636	Bom Jardim do Sul	-25.0293818	-50.801033
PLACE	pr-osm-415523255	Bom Jesus do Sul	-26.192388	-53.6000736
PLACE	pr-osm-2305130129	Bom Princípio	-24.771423	-53.6414762
PLACE	pr-osm-415522965	Bom Sucesso	-23.7101968	-51.7661597
PLACE	pr-osm-415523346	Bom Sucesso do Sul	-26.0749256	-52.8348629
PLACE	pr-osm-10296114125	Bombas	-24.8390771	-49.4073388
PLACE	pr-osm-416646715	Borda do Campo	-25.388812	-49.04505
PLACE	pr-osm-416646321	Borman	-25.184084	-52.771083
PLACE	pr-osm-5578542975	Bormann	-25.1970018	-52.7610662
PLACE	pr-osm-415522967	Borrazópolis	-23.9399295	-51.5842203
PLACE	pr-osm-416646612	Bourbonia	-24.1829967	-52.2207381
PLACE	pr-osm-415523485	Braganey	-24.8179919	-53.118506
PLACE	pr-osm-3659596607	Bragantina	-24.8332943	-53.1159432
PLACE	pr-osm-416646165	Bragantina	-24.6084202	-53.6173652
PLACE	pr-osm-3657287656	Bragápolis	-24.1397219	-52.8616864
PLACE	pr-osm-415523475	Brasilândia do Sul	-24.1975793	-53.527551
PLACE	pr-osm-416766158	Bratislava	-23.31553	-51.2859539
PLACE	pr-osm-7667341517	Braço Norte	-24.853333	-54.2225762
PLACE	pr-osm-416646659	Bugre	-25.4978707	-49.6205036
PLACE	pr-osm-7667341533	Buricá	-24.8914891	-54.3164374
PLACE	pr-osm-5962962574	Cachoeira	-24.0859334	-50.4262479
PLACE	pr-osm-10188331783	Cachoeira de Cima	-25.2591153	-48.7405089
PLACE	pr-osm-416645274	Cachoeira do Espírito Santo	-23.2637025	-49.7019661
PLACE	pr-osm-416646640	Caetano Mendes	-24.6277664	-50.6436472
PLACE	pr-osm-415523019	Cafeara	-22.78905	-51.714195
PLACE	pr-osm-415523465	Cafelândia	-24.6176963	-53.3218057
PLACE	pr-osm-415522887	Cafezal do Sul	-23.900508	-53.512418
PLACE	pr-osm-416646553	Caitá	-25.7678078	-50.554639
PLACE	pr-osm-415522994	Califórnia	-23.6672543	-51.3554556
PLACE	pr-osm-416645283	Calógeras	-23.9933173	-49.8229602
PLACE	pr-osm-415523064	Cambará	-23.042273	-50.075281
PLACE	pr-osm-415522986	Cambira	-23.6002773	-51.5809914
PLACE	pr-osm-415522993	Cambé	-23.2782035	-51.2779583
PLACE	pr-osm-5641775460	Campestrinho	-25.7914175	-49.301
PLACE	pr-osm-415523469	Campina da Lagoa	-24.5937926	-52.8038965
PLACE	pr-osm-415523516	Campina do Simão	-25.1086375	-51.8076658
PLACE	pr-osm-340934669	Campina Grande do Sul	-25.3046032	-49.0545355
PLACE	pr-osm-7894812056	Campineiro do Sul	-24.3302244	-51.1488569
PLACE	pr-osm-416657053	Campinho	-23.7738761	-50.2827077
PLACE	pr-osm-415523488	Campo Bonito	-25.0328004	-52.992976
PLACE	pr-osm-415523614	Campo do Tenente	-25.9814143	-49.684518
PLACE	pr-osm-269996243	Campo Largo	-25.4597726	-49.5270851
PLACE	pr-osm-336189679	Campo Magro	-25.3691533	-49.4496921
PLACE	pr-osm-415523504	Campo Mourão	-24.046329	-52.37802
PLACE	pr-osm-416646156	Candeia	-24.478986	-53.7923843
PLACE	pr-osm-415523426	Candói	-25.5711951	-52.051107	Candoi
PLACE	pr-osm-10264921674	Canelão	-25.1310789	-49.4726494	Canela
PLACE	pr-osm-415523423	Cantagalo	-25.3735238	-52.1238114
PLACE	pr-osm-416646250	Canzianópolis	-25.9169772	-53.7088169
PLACE	pr-osm-415523266	Capanema	-25.6704878	-53.8083036
PLACE	pr-osm-6241670828	Capinzal	-23.9114879	-50.5439292
PLACE	pr-osm-415523264	Capitão Leônidas Marques	-25.481645	-53.611238	Capitao Leonidas Marques
PLACE	pr-osm-11958851317	Carajá	-24.4567324	-52.9631411
PLACE	pr-osm-416646574	Carajá	-24.4634057	-53.4210452
PLACE	pr-osm-415523637	Carambeí	-24.9513298	-50.1171293
PLACE	pr-osm-416646723	Caratuva	-24.0068094	-50.1352025
PLACE	pr-osm-416645167	Carbonera	-23.548179	-53.318813
PLACE	pr-osm-415523059	Carlópolis	-23.4285011	-49.7208814
PLACE	pr-osm-5955730962	Carreiros	-23.8836771	-50.556404
PLACE	pr-osm-1362297086	Cascavel	-24.9554996	-53.4560544
PLACE	pr-osm-415523638	Castro	-24.794072	-49.9972914
PLACE	pr-osm-1975103890	Castrolanda	-24.791365	-49.9448149
PLACE	pr-osm-415523343	Catanduvas	-25.2043528	-53.154826
PLACE	pr-osm-3104748081	Catanduvas de Fora	-24.96027	-50.0188768
PLACE	pr-osm-416646665	Catanduvas do Sul	-25.709927	-49.46638
PLACE	pr-osm-1970328651	Catuporanga	-24.4917389	-51.9610357
PLACE	pr-osm-3093068852	Caxambú	-24.6910567	-50.0081433
PLACE	pr-osm-415523036	Centenário do Sul	-22.821497	-51.5951456
PLACE	pr-osm-416646254	Centro Novo	-25.7797523	-53.7940177
PLACE	pr-osm-415523629	Cerro Azul	-24.8245108	-49.2615181
PLACE	pr-osm-3066033364	Cerro da Lola	-24.7028831	-53.9366836
PLACE	pr-osm-3066043043	Chaparral	-24.8885042	-53.6930572
PLACE	pr-osm-415523338	Chopinzinho	-25.8566167	-52.5294107
PLACE	pr-osm-415522906	Cianorte	-23.662036	-52.6103989
PLACE	pr-osm-415522908	Cidade Gaúcha	-23.3816558	-52.9444098
PLACE	pr-osm-415523388	Clevelândia	-26.404065	-52.3513972
PLACE	pr-osm-8529746046	Clube Náutico Toledo	-24.509459	-54.3151068
PLACE	pr-osm-365936517	Colombo	-25.2925439	-49.2243472
PLACE	pr-osm-415523024	Colorado	-22.8385097	-51.9730135
PLACE	pr-osm-3693643320	Colônia Cristina	-25.5255943	-49.4819219
